"","year","series","episode","rating","votes"
"1",1967,"The Original Series","Space Seed",8.8,3833
"2",1967,"The Original Series","A Taste of Armageddon",8.1,2927
"3",1967,"The Original Series","The City on the Edge of Forever",9.3,4639
"4",1967,"The Original Series","Mirror, Mirror",9.1,3611
"5",1968,"The Original Series","Return to Tomorrow",7.6,2296
"6",1968,"The Original Series","The Enterprise Incident",8.5,2697
"7",1989,"The Next Generation","The Measure Of A Man",9.2,4400
"8",1990,"The Next Generation","Yesterday's Enterprise",9.2,4260
"9",1990,"The Next Generation","The Offspring",8.5,3250
"10",1990,"The Next Generation","Sarek",8.3,2693
"11",1990,"The Next Generation","The Best of Both Worlds",9.4,4154
"12",1990,"The Next Generation","The Best of Both Worlds Part II",9.3,3915
"13",1992,"The Next Generation","The Inner Light",9.5,5947
"14",1992,"The Next Generation","Chain Of Command, Part II",8.9,2826
"15",1993,"The Next Generation","Tapestry",8.9,3084
"16",1994,"The Next Generation","All Good Things...",9.2,7826
"17",1993,"Deep Space Nine","Duet",9.1,2560
"18",1995,"Deep Space Nine","The Way Of The Warrior",9.1,2062
"19",1995,"Deep Space Nine","The Visitor",9.2,2993
"20",1996,"Deep Space Nine","Hard Time",8.4,1618
"21",1996,"Deep Space Nine","Nor The Battle To The Strong",7.7,1436
"22",1996,"Deep Space Nine","Rapture",7.3,1346
"23",1997,"Deep Space Nine","Call To Arms",9.1,1598
"24",1998,"Deep Space Nine","In The Pale Moonlight",9.5,2926
"25",1998,"Deep Space Nine","It's Only A Paper Moon",8.3,1576
"26",1999,"Deep Space Nine","Inter Arma Enim Silent Leges",8.4,1386
"27",1999,"Deep Space Nine","Tacking Into The Wind",8.8,1313
"28",1995,"Voyager","Jetrel",7.3,1448
"29",1996,"Voyager","Death Wish",8.4,1675
"30",1996,"Voyager","Tuvix",7.7,1708
"31",1996,"Voyager","Basics, Part II",8,1379
"32",1997,"Voyager","Distant Origin",8.6,1656
"33",1997,"Voyager","Scorpion, Part II",9,1776
"34",1999,"Voyager","Course: Oblivion",7.7,1472
"35",2000,"Voyager","Blink Of An Eye",9.1,2304
"36",2001,"Voyager","Lineage",7.1,1223
"37",1966,"The Menagerie","Part I",8.4,3352
"38",1966,"The Menagerie","Part II",8.2,3244
"39",1966,"The Original Series","Balance of Terror",8.9,3920
"40",1967,"The Original Series","Arena",8,3156
"41",1967,"The Original Series","The Return of the Archons",7.2,2705
"42",1967,"The Original Series","This Side of Paradise",7.9,2854
"43",1967,"The Original Series","The Devil in the Dark",8.4,3079
"44",1967,"The Original Series","Errand of Mercy",8.2,2822
"45",1967,"The Original Series","Journey to Babel",8.6,2811
"46",1967,"The Original Series","The Trouble with Tribbles",8.9,3511
"47",1968,"The Original Series","The Ultimate Computer",8.1,2398
"48",1968,"The Original Series","The Paradise Syndrome",6.8,2328
"49",1968,"The Original Series","Day of the Dove",7.9,2319
"50",1968,"The Original Series","Plato's Stepchildren",6.6,2235
"51",1969,"The Original Series","Let That Be Your Last Battlefield",7.3,2251
"52",1969,"The Original Series","Turnabout Intruder",6.9,2099
"53",1987,"The Next Generation","Where No One Has Gone Before",7.6,3311
"54",1988,"The Next Generation","Datalore",7.7,2970
"55",1989,"The Next Generation","A Matter Of Honor",8.1,2836
"56",1989,"The Next Generation","Q Who",9,3605
"57",1989,"The Next Generation","The Ensigns of Command",7.5,2617
"58",1989,"The Next Generation","The Survivors",7.7,2859
"59",1989,"The Next Generation","Who Watches The Watchers",8.1,3105
"60",1990,"The Next Generation","Deja Q",8.6,3023
"61",1990,"The Next Generation","Sins of The Father",8.3,2638
"62",1990,"The Next Generation","The Most Toys",7.7,2520
"63",1990,"The Next Generation","Family",8.4,3112
"64",1990,"The Next Generation","Reunion",8.4,2619
"65",1991,"The Next Generation","The Wounded",8.2,2535
"66",1991,"The Next Generation","Clues",8.3,2735
"67",1991,"The Next Generation","First Contact",8.2,2605
"68",1991,"The Next Generation","The Drumhead",8.4,2899
"69",1991,"The Next Generation","Redemption",8.5,2409
"70",1991,"The Next Generation","Redemption II",8.5,2433
"71",1992,"The Next Generation","I Borg",8.8,3055
"72",1992,"The Next Generation","Chain Of Command, Part I",8.4,2587
"73",1993,"The Next Generation","Descent",8.2,2163
"74",1993,"The Next Generation","Gambit, Part I",7.9,2137
"75",1993,"The Next Generation","Gambit, Part II",8,2129
"76",1994,"The Next Generation","Thine Own Self",7.9,2144
"77",1993,"Deep Space Nine","Emissary",7.6,3571
"78",1994,"Deep Space Nine","The Wire",8.3,1618
"79",1994,"Deep Space Nine","The Collaborator",7.1,1408
"80",1994,"Deep Space Nine","The Jem'Hadar",8.5,1627
"81",1994,"Deep Space Nine","The Search, Part I",8.4,1612
"82",1994,"Deep Space Nine","The Search, Part II",8.3,1591
"83",1994,"Deep Space Nine","Second Skin",8,1544
"84",1994,"Deep Space Nine","Defiant",8.1,1598
"85",1995,"Deep Space Nine","Life Support",6.8,1379
"86",1995,"Deep Space Nine","The Die Is Cast",9,1741
"87",1995,"Deep Space Nine","The Adversary",8.3,1464
"88",1995,"Deep Space Nine","Rejoined",7.1,1563
"89",1995,"Deep Space Nine","Our Man Bashir",8,1621
"90",1996,"Deep Space Nine","Homefront",8.4,1543
"91",1996,"Deep Space Nine","Paradise Lost",8.4,1535
"92",1996,"Deep Space Nine","Return To Grace",7.9,1400
"93",1996,"Deep Space Nine","Looking For Par'Mach In All The Wrong Places",7.7,1489
"94",1996,"Deep Space Nine","Trials And Tribble-ations",9.4,2820
"95",1996,"Deep Space Nine","Things Past",7.5,1391
"96",1997,"Deep Space Nine","For The Uniform",8,1460
"97",1997,"Deep Space Nine","In Purgatory's Shadow",8.9,1607
"98",1997,"Deep Space Nine","By Inferno's Light",9,1613
"99",1997,"Deep Space Nine","A Time To Stand",8.6,1487
"100",1997,"Deep Space Nine","Rocks And Shoals",8.6,1574
"101",1997,"Deep Space Nine","Favor The Bold",8.7,1473
"102",1997,"Deep Space Nine","Sacrifice Of Angels",9.1,1692
"103",1998,"Deep Space Nine","Waltz",7.9,1428
"104",1998,"Deep Space Nine","Far Beyond The Stars",8.9,2532
"105",1998,"Deep Space Nine","Tears Of The Prophets",8.4,1366
"106",1998,"Deep Space Nine","Treachery, Faith And The Great River",8.3,1377
"107",1998,"Deep Space Nine","The Siege Of AR-558",8.7,1707
"108",1999,"Deep Space Nine","Chimera",7.3,1245
"109",1999,"Deep Space Nine","Strange Bedfellows",8,1204
"110",1999,"Deep Space Nine","The Changing Face Of Evil",8.5,1268
"111",1995,"Voyager","Maneuvers",7.2,1317
"112",1996,"Voyager","Meld",8,1505
"113",1996,"Voyager","Dreadnought",7.7,1423
"114",1996,"Voyager","Lifesigns",7.6,1399
"115",1996,"Voyager","Investigations",7.7,1357
"116",1996,"Voyager","Deadlock",8.3,1569
"117",1996,"Voyager","Remember",7.1,1297
"118",1997,"Voyager","Unity",7.9,1342
"119",1997,"Voyager","Darkling",6.4,1209
"120",1997,"Voyager","Real Life",7.4,1376
"121",1997,"Voyager","Scorpion",9,1788
"122",1997,"Voyager","Nemesis",7,1410
"123",1998,"Voyager","Message In A Bottle",8.8,1826
